Personne;Commentaire;Rating;Date;Reponse
cliente;"['Très bon service client ', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Très bon service client</h2>]";5;April 16, 2024;None
Laís Barbosa;"['It was a great experience to eat in one of the oldests restaurant in Paris. All the arts and paintings through the restaurant makes it very charming. The food was also very very good.', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Very good</h2>]";5;February 16, 2024;None
Lajoie C.;"[""J'ai un coupon de réduction qui n' jamais voulu marcher"", <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">J'ai un coupon de réduction qui n'…</h2>]";2;March 15, 2024;"['Reply from Wonderbox France', <time class=""typography_body-m__xgxZ_ typography_appearance-subtle__8_H2l styles_replyDate__Iem0_"" data-service-review-business-reply-date-time-ago=""true"" datetime=""2024-03-20T08:38:56.000Z"">Mar 20, 2024</time>, ""Bonjour cher Client, Je suis navré de lire votre déception concernant l'utilisation de votre code de réduction.Afin de vous trouver une solution, pouvez-vous, s’il vous plait, contacter le médiateur directement à l’adresse suivante : wonderhelp@wonderbox.fr.N’oubliez pas de lui transmettre votre récit, une photo du coupon ainsi que votre adresse mail. Cordialement, Ali de Wonderbox""]"
Margarida & Licinio;"['Very warm welcoming and family experience orientated, in a beautiful farm and rural setting. Very good experience and well looked after. Will definitely come back! Margarida ', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Excellent stay in a nice rural setting!</h2>]";4;March 09, 2024;None
Jules Imbert;"['Not possible to get refund... experience are too expensive... website and app are not working... i cannot understand the positive comments', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Not possible to get refund..</h2>]";1;March 17, 2024;"['Reply from Wonderbox France', <time class=""typography_body-m__xgxZ_ typography_appearance-subtle__8_H2l styles_replyDate__Iem0_"" data-service-review-business-reply-date-time-ago=""true"" datetime=""2024-03-18T09:38:01.000Z"">Mar 18, 2024</time>, ""Hello Jules Imbert,I'm sorry to read your disappointment with Wonderbox.We place great importance on our offer quality and our customers reviews and feelings. Could you please directly contact the mediator using the following email address : wonderhelp@wonderbox.fr.Do not forget to transmit your story, your voucher number and your email address.It will allow him to send you a personalized answer. Best regards,Paloma de Wonderbox-----------------------------------------------------------------------------Bonjour Jules Imbert,Je suis navrée de lire votre déception concernant votre expérience avec Wonderbox .Nous attachons une grande importance à la qualité de nos offres et au ressenti de nos clients. Pouvez-vous, s’il vous plait, contacter le médiateur directement à l’adresse suivante : wonderhelp@wonderbox.fr.N’oubliez pas de lui transmettre votre récit, votre numéro de chèque-cadeau et votre adresse mail.Cela permettra de vous apporter une réponse personnaliséeCordialement,Paloma de Wonderbox""]"
Anne FEDIAKINE;"['Simple et rapide ', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Simple et rapide</h2>]";5;April 09, 2024;None
Guestflo;"['J’ai pris plus de 600& de box j’aurai aimer un bonus client plus important qu un album photo', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">J’ai pris plus de 600&amp; de box j’aurai…</h2>]";1;December 20, 2023;"['Reply from Wonderbox France', <time class=""typography_body-m__xgxZ_ typography_appearance-subtle__8_H2l styles_replyDate__Iem0_"" data-service-review-business-reply-date-time-ago=""true"" datetime=""2023-12-29T10:48:07.000Z"">Dec 29, 2023</time>, 'Bonjour cher client,Je suis navrée de lire votre message.Afin de vous apporter une réponse personnalisée, pouvez-vous, s’il vous plait, contacter le médiateur directement à l’adresse suivante : wonderhelp@wonderbox.fr. Surtout, n’oubliez pas de lui faire part de votre récit, le numéro de votre chèque-cadeau ou de votre commande.Je vous remercie et vous souhaite une agréable journée,Sophie de Wonderbox']"
alice clark;"['I purchased 3 packages for Guingamp football club  (total 6 tickets) through wonderbox. These tickets were valid for 19 matches. March when my grandson came for his holiday I tried to order the 6 tickets for my family but the guingamp tickets had been removed from the wonderbox so I had to go direct to Guingamp football club and purchase  the ticketsI have tried to get a refund  but they refused and said I would have to contact  ticketnet and after contacting ticketnet they said I would have to contact wonderbox. This is making me feel ill, if the product has been withdrawn an unavailable, it should be refunded', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">do not purchase</h2>]";1;March 20, 2023;"['Reply from Wonderbox France', <time class=""typography_body-m__xgxZ_ typography_appearance-subtle__8_H2l styles_replyDate__Iem0_"" data-service-review-business-reply-date-time-ago=""true"" datetime=""2023-06-21T09:50:42.000Z"">Jun 21, 2023</time>, ""Hello dear customer,I'm sorry to read your feedback.In order to find a solution, I invite you to contact the mediator at this e-mail address : mediateur@wonderbox.fr.Don't forget to give him your e-mail address linked to your customer account and your gift voucher number.Best regards,Ali from Wonderbox""]"
Corinne Lepape;"['Box commandee et 7  jrs apres ne recevant rien, j appelle et l on m informe rupture de stock !!!', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Box commandee et 7  jrs apres ne…</h2>]";3;July 20, 2023;None
Michel B.;"['Wonderbox loisirs en duo utilisée au restaurant Les Vignes du Liban à Paris.Accueil, restauration et services excellents.', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Restaurant les Vignes du Liban à Paris</h2>]";5;February 17, 2024;None
Ben;"[""Super facile d'échanger ou de prolonger sa box"", <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Service clientèle au top </h2>]";5;February 22, 2024;None
CatherineRICHARD;"[""merci d'avoir pu prolonger ma box maintenant, il suffit de choisir le resto."", <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">merci d'avoir pu prolonger ma box…</h2>]";5;February 15, 2023;None
Krys;"[""Tres bon produit mais il n'etait pas disponible en version electronique."", <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Pas disponible en version electronique</h2>]";2;August 18, 2023;"['Reply from Wonderbox France', <time class=""typography_body-m__xgxZ_ typography_appearance-subtle__8_H2l styles_replyDate__Iem0_"" data-service-review-business-reply-date-time-ago=""true"" datetime=""2023-08-21T10:43:17.000Z"">Aug 21, 2023</time>, ""Bonjour Krys,Je vous informe que les Supercard ne peuvent pas être en version électrique, car vous aurez besoin de la carte physique pour l'utiliser.Je vous remercie et vous souhaite une agréable journée,Sophie de Wonderbox""]"
Shirley MAURICE;"['None', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Service client au top</h2>]";5;March 08, 2024;None
migrenne;"[""prolongation d'une wonderbox, très simple, il suffit de suivre vos instructions"", <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">prolongation d'une wonderbox</h2>]";5;November 22, 2022;None
ELISABETH BEHLOULI;"['Bon accueil, très bon massage ', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Massage californien</h2>]";5;February 28, 2024;None
Le bail;"['Le restaurant est excellent.   Le menu, laccueil,  le service.', <h2 class=""typography_heading-s__f7029 typography_appearance-default__AAY17"" data-service-review-title-typography=""true"">Le restaurant est excellent</h2>]";5;February 07, 2024;None
